Fecha,inf235830,inf235831,,,,
Ene 1970,0.76,0.76,,,,
Feb-70,-0.01,0.75,,,,
Mar-70,0.29,1.04,,,,
Abr 1970,0.13,1.17,,,,
May-70,0.21,1.39,,,,
Jun-70,0.61,2,,,,
Jul-70,0.49,2.5,,,,
Ago 1970,0.46,2.98,,,,
Sep-70,0.24,3.22,,,,
Oct-70,0.03,3.26,,,,
Nov-70,0.54,3.82,,,,
Dic 1970,0.85,4.69,,,,
Ene 1971,0.99,0.99,,,,
Feb-71,0.41,1.4,,,,
Mar-71,0.38,1.79,,,,
Abr 1971,0.51,2.31,,,,
May-71,0.21,2.53,,,,
Jun-71,0.45,2.99,,,,
Jul-71,-0.08,2.91,,,,
Ago 1971,0.91,3.85,,,,
Sep-71,0.33,4.19,,,,
Oct-71,0.1,4.29,,,,
Nov-71,0.16,4.46,,,,
Dic 1971,0.48,4.96,,,,
Ene 1972,0.44,0.44,,,,
Feb-72,0.31,0.76,,,,
Mar-72,0.55,1.31,,,,
Abr 1972,0.63,1.94,,,,
May-72,0.2,2.15,,,,
Jun-72,0.74,2.9,,,,
Jul-72,0.38,3.29,,,,
Ago 1972,0.66,3.97,,,,
Sep-72,0.46,4.44,,,,
Oct-72,0.07,4.52,,,,
Nov-72,0.65,5.2,,,,
Dic 1972,0.34,5.56,,,,
Ene 1973,1.45,1.45,,,,
Feb-73,0.83,2.29,,,,
Mar-73,0.88,3.19,,,,
Abr 1973,1.58,4.82,,,,
May-73,1.06,5.94,,,,
Jun-73,0.82,6.81,,,,
Jul-73,2.56,9.55,,,,
Ago 1973,1.6,11.3,,,,
Sep-73,2.38,13.95,,,,
Oct-73,1.28,15.41,,,,
Nov-73,1.23,16.83,,,,
Dic 1973,3.88,21.37,,,,
Ene 1974,3.58,3.58,,,,
Feb-74,2.26,5.92,,,,
Mar-74,0.77,6.74,,,,
Abr 1974,1.36,8.19,,,,
May-74,0.79,9.04,,,,
Jun-74,0.99,10.11,,,,
Jul-74,1.45,11.71,,,,
Ago 1974,1.06,12.88,,,,
Sep-74,1.13,14.16,,,,
Oct-74,1.98,16.43,,,,
Nov-74,2.78,19.66,,,,
Dic 1974,0.78,20.6,,,,
Ene 1975,1.28,1.28,,,,
Feb-75,0.55,1.84,,,,
Mar-75,0.63,2.48,,,,
Abr 1975,0.84,3.34,,,,
May-75,1.34,4.73,,,,
Jun-75,1.7,6.51,,,,
Jul-75,0.8,7.36,,,,
Ago 1975,0.87,8.29,,,,
Sep-75,0.73,9.08,,,,
Oct-75,0.51,9.64,,,,
Nov-75,0.7,10.4,,,,
Dic 1975,0.82,11.31,,,,
Ene 1976,1.93,1.93,,,,
Feb-76,1.87,3.84,,,,
Mar-76,0.98,4.86,,,,
Abr 1976,0.7,5.59,,,,
May-76,0.7,6.33,,,,
Jun-76,0.4,6.76,,,,
Jul-76,0.85,7.66,,,,
Ago 1976,0.96,8.69,,,,
Sep-76,3.41,12.4,,,,
Oct-76,5.63,18.73,,,,
Nov-76,4.52,24.09,,,,
Dic 1976,2.51,27.2,,,,
Ene 1977,3.19,3.19,,,,
Feb-77,2.21,5.46,,,,
Mar-77,1.74,7.3,,,,
Abr 1977,1.51,8.93,,,,
May-77,0.88,9.88,,,,
Jun-77,1.23,11.23,,,,
Jul-77,1.13,12.49,,,,
Ago 1977,2.05,14.8,,,,
Sep-77,1.77,16.83,,,,
Oct-77,0.76,17.73,,,,
Nov-77,1.09,19.01,,,,
Dic 1977,1.38,20.66,,,,
Ene 1978,2.22,2.22,,,,
Feb-78,1.44,3.69,,,,
Mar-78,1.04,4.77,,,,
Abr 1978,1.11,5.94,,,,
May-78,0.98,6.97,,,,
Jun-78,1.38,8.44,,,,
Jul-78,1.7,10.28,,,,
